DEBUG 01-05 18:16:29,849 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  01-05 18:16:29,851 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/kibet/bioinformatics/github/co1_metaanalysis/code/tools/PGDSpider_2.1.1.5/spider.conf.xml
DEBUG 01-05 18:16:30,146 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 01-05 18:16:30,146 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 01-05 18:16:30,178 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 01-05 18:16:30,180 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 01-05 18:16:30,184 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 01-05 18:16:30,194 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 01-05 18:16:30,194 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 01-05 18:16:30,198 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 01-05 18:16:30,201 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 01-05 18:16:30,202 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 01-05 18:16:30,202 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 01-05 18:16:30,204 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 01-05 18:16:30,206 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 01-05 18:16:30,207 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 01-05 18:16:30,210 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 01-05 18:16:30,211 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 01-05 18:16:30,212 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 01-05 18:16:30,212 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 01-05 18:16:30,215 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 01-05 18:16:30,216 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 01-05 18:16:30,219 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 01-05 18:16:30,222 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 01-05 18:16:30,225 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 01-05 18:16:30,225 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 01-05 18:16:30,227 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 01-05 18:16:30,228 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 01-05 18:16:30,231 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
