IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KALG100-10,CM35-100,CM35-100,Ceramiales,Acanthophora,Acanthophora spicifera,,Kenya,,-4.26,39.599,
KALG099-10,CM35-099,CM35-099,Ceramiales,Acanthophora,Acanthophora spicifera,,Kenya,,-4.26,39.599,
KALG098-10,CM35-098,CM35-098,Ceramiales,Acanthophora,Acanthophora spicifera,,Kenya,,-4.26,39.599,
KALG097-10,CM35-097,CM35-097,Ceramiales,Acanthophora,Acanthophora spicifera,,Kenya,,-4.26,39.599,
KALG096-10,CM35-096,CM35-096,Ceramiales,Acanthophora,Acanthophora spicifera,,Kenya,,-4.26,39.599,
KALG141-10,JR61-141,JR61-141,Ceramiales,Bostrychia,Bostrychia radicans,,Kenya,,-3.944,39.774,
KALG142-10,JR61-142,JR61-142,Ceramiales,Bostrychia,Bostrychia radicans,,Kenya,,-3.944,39.774,
KALG143-10,JR61-143,JR61-143,Ceramiales,Bostrychia,Bostrychia radicans,,Kenya,,-3.944,39.774,
KALG144-10,JR61-144,JR61-144,Ceramiales,Bostrychia,Bostrychia radicans,,Kenya,,-3.944,39.774,
KALG145-10,JR61-145,JR61-145,Ceramiales,Bostrychia,Bostrychia radicans,,Kenya,,-3.944,39.774,
KALG059-10,CM23-059,CM23-059,Ceramiales,Centroceras,Centroceras clavulatum,,Kenya,,-4.26,39.599,
KALG058-10,CM23-058,CM23-058,Ceramiales,Centroceras,Centroceras clavulatum,,Kenya,,-4.26,39.599,
KALG057-10,CM23-057,CM23-057,Ceramiales,Centroceras,Centroceras clavulatum,,Kenya,,-4.26,39.599,
KALG056-10,CM23-056,CM23-056,Ceramiales,Centroceras,Centroceras clavulatum,,Kenya,,-4.26,39.599,
KALG060-10,CM23-060,CM23-060,Ceramiales,Centroceras,Centroceras clavulatum,,Kenya,,-4.26,39.599,
KALG075-10,CM26-075,CM26-075,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG076-10,CM29-076,CM29-076,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG080-10,CM29-080,CM29-080,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG079-10,CM29-079,CM29-079,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG078-10,CM29-078,CM29-078,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG077-10,CM29-077,CM29-077,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG074-10,CM26-074,CM26-074,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG073-10,CM26-073,CM26-073,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG072-10,CM26-072,CM26-072,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG071-10,CM26-071,CM26-071,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG065-10,CM24-065,CM24-065,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG064-10,CM24-064,CM24-064,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG063-10,CM24-063,CM24-063,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG062-10,CM24-062,CM24-062,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG061-10,CM24-061,CM24-061,Ceramiales,Ceramium,Ceramium sp.,,Kenya,,-4.26,39.599,
KALG111-10,CM38-111,CM38-111,Ceramiales,Chondrophycus,Chondrophycus papillosus,,Kenya,,-4.26,39.599,
KALG115-10,CM38-115,CM38-115,Ceramiales,Chondrophycus,Chondrophycus papillosus,,Kenya,,-4.26,39.599,
KALG114-10,CM38-114,CM38-114,Ceramiales,Chondrophycus,Chondrophycus papillosus,,Kenya,,-4.26,39.599,
KALG113-10,CM38-113,CM38-113,Ceramiales,Chondrophycus,Chondrophycus papillosus,,Kenya,,-4.26,39.599,
KALG112-10,CM38-112,CM38-112,Ceramiales,Chondrophycus,Chondrophycus papillosus,,Kenya,,-4.26,39.599,
KALG036-10,FJ12-036,FJ12-036,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-4.26,39.599,
KALG037-10,FJ12-037,FJ12-037,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-4.26,39.599,
KALG038-10,FJ12-038,FJ12-038,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-4.26,39.599,
KALG039-10,FJ12-039,FJ12-039,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-4.26,39.599,
KALG040-10,FJ12-040,FJ12-040,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-4.26,39.599,
KALG161-10,WT101-161,WT101-161,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-3.366,40.004,
KALG162-10,WT101-162,WT101-162,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-3.366,40.004,
KALG163-10,WT101-163,WT101-163,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-3.366,40.004,
KALG164-10,WT101-164,WT101-164,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-3.366,40.004,
KALG165-10,WT101-165,WT101-165,Fucales,Cystoseira,Cystoseira myrica,,Kenya,,-3.366,40.004,
KALG021-10,FJ7-016,FJ7-016,Dictyotales,Dictyota,Dictyota sp.,,Kenya,,-4.26,39.599,
KALG022-10,FJ7-017,FJ7-017,Dictyotales,Dictyota,Dictyota sp.,,Kenya,,-4.26,39.599,
KALG023-10,FJ7-018,FJ7-018,Dictyotales,Dictyota,Dictyota sp.,,Kenya,,-4.26,39.599,
KALG024-10,FJ7-019,FJ7-019,Dictyotales,Dictyota,Dictyota sp.,,Kenya,,-4.26,39.599,
KALG025-10,FJ7-020,FJ7-020,Dictyotales,Dictyota,Dictyota sp.,,Kenya,,-4.26,39.599,
KALG185-10,VG111-185,VG111-185,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG184-10,VG111-184,VG111-184,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG183-10,VG111-183,VG111-183,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG182-10,VG111-182,VG111-182,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG181-10,VG111-181,VG111-181,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG030-10,FJ8-025,FJ8-025,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG029-10,FJ8-024,FJ8-024,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG028-10,FJ8-023,FJ8-023,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG027-10,FJ8-022,FJ8-022,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG026-10,FJ8-021,FJ8-021,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG045-10,FJ16-045,FJ16-045,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG044-10,FJ16-044,FJ16-044,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG043-10,FJ16-043,FJ16-043,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG042-10,FJ16-042,FJ16-042,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG041-10,FJ16-041,FJ16-041,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG107-10,CM37-107,CM37-107,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
