Process_ID	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	Species	Subspecies	Country	Exactsite	Latitude	Longitude	Elevation	seq_len	As_CellularOrganism	CellularOrganism_sc	As_superkingdom	Superkingdom_sc	As_kingdom	Kingdom_sc	As_phylum	Phylum_sc	As_class	Class_sc	As_order	Order_sc	As_family	Family_sc	As_genus	Genus_sc	As_species	Species_sc
GBDP8084-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._JD-2008	NA	Thailand	NA	NA	NA	NA	687	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_barguesae	1
GBDP23225-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_duboscqi	NA	Ethiopia	NA	NA	NA	NA	561	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_papatasi	1
GBMIN59817-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._UNK.F.1-1	NA	Ethiopia	NA	NA	NA	NA	658	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Sergentomyia	1	Sergentomyia_clydei	1
GBMIN59818-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._UNK.F.1-3	NA	Ethiopia	NA	NA	NA	NA	588	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_papatasi	1
GBDP8086-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._JD-2008	NA	Thailand	NA	NA	NA	NA	687	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_barguesae	1
GBDP8087-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._JD-2008	NA	Thailand	NA	NA	NA	NA	687	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_barguesae	1
GBDP23815-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._UNK.F.1-2	NA	Ethiopia	NA	NA	NA	NA	658	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_papatasi	1
GBDP8083-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._JD-2008	NA	Thailand	NA	NA	NA	NA	687	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_barguesae	1
GBMIN59819-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._UNK.M.1-1	NA	Ethiopia	NA	NA	NA	NA	658	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_papatasi	1
JSTH043-16	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_stantoni	NA	Thailand	Yaiphatung_cave	18.921	100.193	NA	605	cellularOrganisms	1	Eukaryota	1	Metazoa	1	Arthropoda	1	Insecta	1	Diptera	1	Psychodidae	1	Phlebotomus	1	Phlebotomus_mascomai	1
