Process_ID	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	Species	Subspecies	Country	Exactsite	Latitude	Longitude	Elevation	seq_len	As_CellularOrganism	CellularOrganism_sc	As_superkingdom	Superkingdom_sc	As_kingdom	Kingdom_sc	As_phylum	Phylum_sc	As_class	Class_sc	As_order	Order_sc	As_family	Family_sc	As_genus	Genus_sc	As_species	Species_sc
GBDP18861-15	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Pintomyia	Pintomyia_fischeri	NA	Peru	NA	NA	NA	NA	669	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Pintomyia	1.0	Pintomyia_fischeri	1.0
GBDP18868-15	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Pintomyia	Pintomyia_fischeri	NA	Peru	NA	NA	NA	NA	669	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Pintomyia	1.0	Pintomyia_fischeri	1.0
GBDP19067-15	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_minuta	NA	Spain	NA	NA	NA	NA	564	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_minuta	1.0
GBDP19102-15	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_minuta	NA	Tunisia	NA	NA	NA	NA	564	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_minuta	1.0
GBDP19110-15	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_minuta	NA	Algeria	NA	NA	NA	NA	564	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_minuta	1.0
GBDP22710-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_indica	NA	Sri_Lanka	NA	NA	NA	NA	264	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	0.94	Insecta	0.88	Diptera	0.52	Psychodidae	0.21	Sergentomyia	0.21	Sergentomyia_indica	0.07
GBDP23007-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_arboris	NA	Sri_Lanka	NA	NA	NA	NA	318	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_bailyi	1.0
GBDP23229-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_neglectus	NA	Greece	NA	NA	NA	NA	565	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Phlebotomus	1.0	Phlebotomus_neglectus	1.0
GBDP23400-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Psychodopygus	Psychodopygus_panamensis	NA	Ecuador	NA	NA	NA	NA	611	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Psychodopygus	1.0	Psychodopygus_panamensis	1.0
GBDP23845-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_simici	NA	NA	NA	NA	NA	NA	658	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Phlebotomus	1.0	Phlebotomus_simici	1.0
GBDP25099-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_bedfordi	NA	Botswana	NA	NA	NA	NA	549	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_bedfordi	1.0
GBDP28317-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Migonemyia	Migonemyia_migonei	NA	Brazil	NA	NA	NA	NA	658	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Migonemyia	1.0	Migonemyia_migonei	1.0
GBDP28605-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_antennata	NA	Cameroon	NA	NA	NA	NA	549	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_antennata	1.0
GBDP28622-19	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_cincta	NA	Cameroon	NA	NA	NA	NA	549	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_antennata	1.0
GBDP7008-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_chabaudi	NA	NA	NA	NA	NA	NA	687	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Phlebotomus	1.0	Phlebotomus_chabaudi	1.0
GBDP8084-09	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_sp._JD-2008	NA	Thailand	NA	NA	NA	NA	687	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Phlebotomus	1.0	Phlebotomus_barguesae	1.0
GBDP8786-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_shannoni	NA	NA	NA	NA	NA	NA	459	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Psathyromyia	1.0	Psathyromyia_shannoni	1.0
GBDP8819-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_shannoni	NA	NA	NA	NA	NA	NA	459	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Psathyromyia	1.0	Psathyromyia_shannoni	1.0
GBDP8832-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_shannoni	NA	NA	NA	NA	NA	NA	459	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Psathyromyia	1.0	Psathyromyia_shannoni	1.0
GBDP8879-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_shannoni	NA	NA	NA	NA	NA	NA	459	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Psathyromyia	1.0	Psathyromyia_shannoni	1.0
GBDP9055-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_sauroida	NA	NA	NA	NA	NA	NA	666	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Lutzomyia	1.0	Lutzomyia_sauroida	0.99
GBDP9094-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_verrucarum	NA	NA	NA	NA	NA	NA	666	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Lutzomyia	1.0	Lutzomyia_verrucarum	1.0
GBDP9110-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_nr._vespertilionis_394	NA	Panama	NA	NA	NA	NA	549	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Lutzomyia	1.0	Lutzomyia_vespertilionis	1.0
GBDP9135-10	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_ovallesi	NA	Panama	NA	NA	NA	NA	549	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Lutzomyia	1.0	Lutzomyia_ovallesi	1.0
GBMIN14870-13	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_trapidoi	NA	Ecuador	NA	NA	NA	NA	683	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_trapidoi	1.0
GBMIN23025-13	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_sp._EEB-2010	NA	Colombia	NA	NA	NA	NA	681	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	0.99	Diptera	0.75	Psychodidae	0.35	Viannamyia	0.08	Viannamyia_furcata	0.08
GBMIN25060-13	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_umbratilis	NA	NA	NA	NA	NA	NA	1181	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	0.99	Psychodidae	0.98	Nyssomyia	0.93	Nyssomyia_umbratilis	0.93
GBMIN27418-13	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Phlebotomus	Phlebotomus_argentipes	NA	India	NA	12.34	79.4083	NA	673	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Phlebotomus	1.0	Phlebotomus_argentipes	1.0
GBMIN27422-13	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_babu	Sergentomyia_babu_babu	India	NA	12.035	80.0483	NA	643	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_babu	1.0
GBMIN59640-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Lutzomyia	Lutzomyia_rangeliana	NA	Colombia	NA	NA	NA	NA	578	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Lutzomyia	1.0	Lutzomyia_rangeliana	1.0
GBMIN59667-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Nyssomyia	Nyssomyia_umbratilis	NA	NA	NA	NA	NA	NA	597	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_umbratilis	1.0
GBMIN59678-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Nyssomyia	Nyssomyia_umbratilis	NA	NA	NA	NA	NA	NA	597	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_umbratilis	1.0
GBMIN59714-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Nyssomyia	Nyssomyia_umbratilis	NA	NA	NA	NA	NA	NA	597	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_umbratilis	1.0
GBMIN59739-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Nyssomyia	Nyssomyia_umbratilis	NA	NA	NA	NA	NA	NA	597	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_umbratilis	1.0
GBMIN59756-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Nyssomyia	Nyssomyia_umbratilis	NA	NA	NA	NA	NA	NA	597	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Nyssomyia	1.0	Nyssomyia_umbratilis	1.0
GBMIN59871-17	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotominae	NA	Sergentomyia	Sergentomyia_indica	NA	Thailand	NA	18.26	98.39	NA	650	cellularOrganisms	1.0	Eukaryota	1.0	Metazoa	1.0	Arthropoda	1.0	Insecta	1.0	Diptera	1.0	Psychodidae	1.0	Sergentomyia	1.0	Sergentomyia_indica	1.0
